Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,Pub_Log2FC,NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
KCTD9,4380,5.18440957,138.3115447,410.8904044,2.405282906,1.570762864,0.037483564,0,0,not flagged,65
ZMYM2,11565,11.61307744,201.4222118,584.8107921,2.403835193,1.537700195,0.057655396,0,1,strongly selective,29
MED1,7330,15.86429328,198.867555,590.7879456,2.396890427,1.570784344,0.07977316,0,0,not flagged,806
ZNF367,3646,4.769656804,74.78554499,220.0979787,2.386916538,1.557187195,0.06377779,0,0,not flagged,43
ZNF782,4619,3.006957551,33.00991269,89.3412125,2.38303837,1.436151001,0.091092563,0,0,not flagged,6
CDC7,3599,35.15029688,472.1568616,1351.504617,2.379579207,1.517208418,0.074446227,1,0,common essential,1185
PRDM6,9350,1.45163468,32.10018913,92.52301749,2.378293942,1.526937075,0.045221998,0,0,not flagged,0
MEGF9,6433,2.799581168,65.9926003,193.3924224,2.37773527,1.551011097,0.042422653,0,0,not flagged,0
NR2C2,5897,11.92414201,192.9905083,569.8454659,2.376799439,1.561991403,0.061786158,0,0,not flagged,19
FOXO3,7721,11.40570105,128.63181,375.2117408,2.375340075,1.544383811,0.088669366,0,0,not flagged,222
GABPB2,9189,3.940151273,59.87969528,175.5565997,2.370404486,1.551638711,0.065801124,0,1,strongly selective,64
PTAR1,12200,12.44258297,155.7503068,445.4840327,2.368925684,1.516078477,0.079888016,0,1,strongly selective,281
BTRC,6583,8.91718446,89.36134727,261.4105854,2.367189124,1.548488471,0.099787937,0,0,not flagged,11
SUZ12,6547,3.214333933,100.8802248,287.3928579,2.366652966,1.510288008,0.031862874,0,0,not flagged,413
SH2D4A,4148,1.555322871,18.65665084,54.13995924,2.366386383,1.536497149,0.083365599,0,0,not flagged,0
PANK1,4127,2.073763828,33.35986833,92.43701131,2.351014581,1.470080686,0.06216343,0,0,not flagged,1
NFIL3,2085,5.18440957,91.34825178,263.4254648,2.351011091,1.527842631,0.056754338,0,1,strongly selective,4
WDR47,4536,12.13151839,143.9352892,413.5965296,2.348370879,1.522738386,0.084284531,0,0,not flagged,8
MTPAP,8382,11.30201286,222.8176057,636.9928534,2.342014477,1.515371858,0.050723159,1,0,common essential,856
GOLGA1,6009,4.354904039,44.8559754,128.0313701,2.340503112,1.512916338,0.097086375,0,1,strongly selective,3
PTCH1,16591,2.695892976,37.37533061,106.9558698,2.33573789,1.516606345,0.072130278,0,0,not flagged,1
OSBPL11,4191,8.19136712,84.58175076,241.6222086,2.335390435,1.514223886,0.096845561,0,0,not flagged,3
